måned:,gjennomsnittlig last(MW):
January,19879.881639784944
February,19412.604508928573
March,17037.830959885385
April,15090.058052083332
May,13554.92872311828
June,12772.586045138889
July,12121.255987903225
August,12981.764398521505
September,13415.95540625
October,15191.476335570469
November,17606.890677083335
December,18152.642590725805
